Date,Open,High,Low,Close,Adj Close,Volume
2017-07-26,77.650002,78.879997,77.389999,77.660004,74.911171,1680300
2017-07-27,77.779999,78.190002,77.320000,77.459999,74.718246,872400
2017-07-28,77.379997,77.690002,76.580002,77.389999,74.650719,736100
2017-07-31,77.650002,77.720001,76.830002,77.120003,74.390289,1269000
2017-08-01,77.489998,78.370003,77.059998,77.480003,74.737541,1017600
2017-08-02,77.480003,77.480003,71.290001,72.510002,69.943459,4356000
2017-08-03,72.099998,73.690002,72.099998,73.449997,70.850174,1243800
2017-08-04,74.199997,75.440002,74.099998,75.089996,72.432129,1181400
2017-08-07,75.160004,75.470001,74.599998,75.050003,72.393562,572400
2017-08-08,74.940002,75.269997,74.110001,74.400002,71.766556,907200
2017-08-09,74.129997,74.209999,73.510002,74.120003,71.496468,845400
2017-08-10,73.830002,73.989998,72.559998,72.620003,70.049561,693400
2017-08-11,72.620003,73.269997,72.519997,72.559998,69.991676,427200
2017-08-14,73.019997,73.650002,72.959999,73.620003,71.014160,447000
2017-08-15,73.300003,73.300003,72.440002,72.440002,70.209724,506600
2017-08-16,72.680000,72.959999,72.500000,72.699997,70.461723,468000
2017-08-17,72.940002,73.489998,72.779999,72.790001,70.548950,460700
2017-08-18,72.820000,73.260002,72.489998,73.070000,70.820328,529500
2017-08-21,73.059998,73.529999,72.739998,73.440002,71.178932,310800
2017-08-22,73.519997,74.849998,73.489998,74.550003,72.254753,500300
2017-08-23,74.440002,74.660004,73.750000,73.910004,71.634468,510900
2017-08-24,73.820000,74.160004,73.570000,73.900002,71.624771,439500
2017-08-25,74.300003,74.410004,73.849998,74.199997,71.915520,459800
2017-08-28,74.230003,75.540001,74.230003,75.540001,73.214287,620600
2017-08-29,75.040001,75.680000,74.870003,74.949997,72.642433,491800
2017-08-30,74.949997,75.760002,74.949997,75.580002,73.253029,439900
2017-08-31,76.000000,77.680000,75.750000,77.580002,75.191467,743000
2017-09-01,77.559998,77.949997,77.059998,77.589996,75.201157,424600
2017-09-05,77.300003,77.500000,76.260002,76.599998,74.241638,850100
2017-09-06,76.769997,77.779999,76.570000,77.660004,75.269005,397900
2017-09-07,77.760002,78.860001,77.070000,78.820000,76.393288,572700
2017-09-08,79.010002,80.379997,78.870003,79.839996,77.381866,557400
2017-09-11,80.589996,81.870003,80.010002,81.379997,78.874466,720800
2017-09-12,81.260002,81.290001,80.559998,80.879997,78.389854,606000
2017-09-13,80.790001,80.849998,79.220001,79.610001,77.158958,672100
2017-09-14,79.400002,80.610001,79.120003,80.550003,78.070030,783600
2017-09-15,80.449997,80.500000,79.199997,79.230003,76.790657,1256600
2017-09-18,79.639999,79.970001,79.300003,79.529999,77.081429,439000
2017-09-19,79.529999,79.639999,78.870003,79.449997,77.003891,440400
2017-09-20,79.589996,80.050003,78.959999,79.599998,77.149269,364900
2017-09-21,78.500000,78.750000,77.220001,77.320000,74.939468,768900
2017-09-22,77.169998,77.599998,77.120003,77.379997,74.997620,601700
2017-09-25,77.349998,77.599998,76.620003,77.199997,74.823166,504100
2017-09-26,76.760002,76.989998,76.279999,76.300003,73.950874,445900
2017-09-27,76.620003,76.800003,75.279999,76.160004,73.815186,669700
2017-09-28,76.529999,76.760002,75.830002,76.110001,73.766724,445600
2017-09-29,76.010002,77.000000,75.830002,76.959999,74.590561,423600
2017-10-02,76.940002,77.440002,76.559998,77.410004,75.026703,349800
2017-10-03,77.320000,77.800003,76.180000,76.529999,74.173798,528800
2017-10-04,76.449997,77.379997,76.320000,77.269997,74.890999,508000
2017-10-05,77.260002,77.650002,76.910004,77.300003,74.920097,439500
2017-10-06,76.930000,77.360001,76.760002,77.250000,74.871628,352500
2017-10-09,77.110001,77.230003,75.949997,76.139999,73.795799,388400
2017-10-10,76.110001,76.269997,75.620003,76.209999,73.863655,443300
2017-10-11,76.410004,76.820000,76.019997,76.550003,74.193192,419600
2017-10-12,76.900002,77.639999,76.800003,77.589996,75.201157,546600
2017-10-13,77.809998,78.059998,77.269997,77.629997,75.239929,465800
2017-10-16,77.620003,78.019997,77.330002,77.730003,75.336853,449600
2017-10-17,77.750000,78.510002,77.510002,78.419998,76.005608,280700
2017-10-18,78.879997,79.129997,78.459999,78.870003,76.441750,422700
2017-10-19,78.550003,78.870003,77.750000,78.790001,76.364220,337600
2017-10-20,79.180000,79.440002,78.610001,79.000000,76.567749,462600
2017-10-23,78.599998,80.599998,78.599998,79.820000,77.362518,652400
2017-10-24,78.989998,79.279999,78.500000,79.050003,76.616203,677300
2017-10-25,78.580002,79.910004,77.709999,78.400002,75.986221,724800
2017-10-26,78.529999,79.650002,77.870003,78.610001,76.189766,836700
2017-10-27,81.879997,87.809998,81.010002,84.419998,81.820877,1970500
2017-10-30,84.550003,84.550003,82.739998,82.989998,80.434891,1142900
2017-10-31,83.349998,84.320000,83.199997,84.180000,81.588272,717200
2017-11-01,84.680000,85.879997,84.500000,85.769997,83.129311,988900
2017-11-02,84.680000,84.889999,82.330002,82.860001,80.308907,1133400
2017-11-03,82.089996,83.730003,81.750000,83.120003,80.560898,1129000
